# jaroWink-avg
0,00;0;0;34;0,00;0,00;0,00;0,00
0,02;25;2;9;0,93;0,74;0,82;0,58
0,04;28;12;6;0,70;0,82;0,76;0,59
0,06;28;39;6;0,42;0,82;0,55;0,50
0,08;29;155;5;0,16;0,85;0,27;0,30
0,10;32;572;2;0,05;0,94;0,10;0,14
0,12;32;778;2;0,04;0,94;0,08;0,11
0,14;32;778;2;0,04;0,94;0,08;0,11
0,16;32;778;2;0,04;0,94;0,08;0,11
0,18;32;778;2;0,04;0,94;0,08;0,11
0,20;32;780;2;0,04;0,94;0,08;0,11
0,22;32;780;2;0,04;0,94;0,08;0,11
0,24;32;781;2;0,04;0,94;0,08;0,10
0,26;32;782;2;0,04;0,94;0,08;0,10
0,28;32;782;2;0,04;0,94;0,08;0,10
0,30;32;782;2;0,04;0,94;0,08;0,10
0,32;32;782;2;0,04;0,94;0,08;0,10
0,34;32;782;2;0,04;0,94;0,08;0,10
0,36;32;782;2;0,04;0,94;0,08;0,10
0,38;32;783;2;0,04;0,94;0,08;0,10
0,40;32;783;2;0,04;0,94;0,08;0,10
0,42;32;785;2;0,04;0,94;0,08;0,10
0,44;32;785;2;0,04;0,94;0,08;0,10
0,46;32;785;2;0,04;0,94;0,08;0,10
0,48;32;786;2;0,04;0,94;0,08;0,10
0,50;32;786;2;0,04;0,94;0,08;0,10
0,52;32;787;2;0,04;0,94;0,08;0,10
0,54;32;787;2;0,04;0,94;0,08;0,10
0,56;32;787;2;0,04;0,94;0,08;0,10
0,58;32;787;2;0,04;0,94;0,08;0,10
0,60;32;787;2;0,04;0,94;0,08;0,10
0,62;32;787;2;0,04;0,94;0,08;0,10
0,64;32;787;2;0,04;0,94;0,08;0,10
0,66;32;787;2;0,04;0,94;0,08;0,10
0,68;32;787;2;0,04;0,94;0,08;0,10
0,70;32;787;2;0,04;0,94;0,08;0,10
