e1,e2,lcs,cls,nw,anw,sw,lv,ap,slv,me,ja,jw,isub,req,sub,qgr
"taaable:Oregano","dbpedia:Corean","","-",-3.0,-3.0,9.0,-3.0,14.0,0.4285714285714286,0.33333333333333337,0.1507936507936508,0.1507936507936508,2.0,1.0,0.8509615384615384,0.8461538461538461
"taaable:Grainy_mustard","dbpedia:Grain_mite","","-",-6.0,-6.0,13.0,-6.0,23.0,0.4285714285714286,0.28,0.20952380952380956,0.12571428571428567,0.6961538461538461,1.0,0.626338147833475,0.7
"taaable:Oregano","dbpedia:Grano","","-",-3.0,-3.0,7.0,-3.0,13.0,0.4285714285714286,0.4,1.0,1.0,0.7547770700636942,1.0,0.7547770700636942,0.7272727272727273
"taaable:Oregano","dbpedia:Corgan","","-",-3.0,-3.0,9.0,-3.0,14.0,0.4285714285714286,0.33333333333333337,0.1507936507936508,0.1507936507936508,0.8509615384615384,1.0,0.8509615384615384,0.8461538461538461
"taaable:Oregano","category:Oregon","","-",-2.0,-2.0,9.0,-2.0,15.0,0.2857142857142857,0.06666666666666665,0.10317460317460314,0.06190476190476191,0.3993085566119273,1.0,0.3993085566119273,0.6363636363636364
"taaable:Oregano","category:Oceans","","-",-3.0,-3.0,6.0,-3.0,12.0,0.4285714285714286,0.6,0.25396825396825395,0.22857142857142854,1.9,1.0,1.0,0.8461538461538461
"taaable:Powdered_sugar","category:Powered_toys","","-",-6.0,-6.0,15.0,-6.0,24.0,0.4285714285714286,0.41666666666666663,0.2764550264550265,0.19351851851851853,0.43777009507346576,1.0,0.48615613182063744,0.6666666666666667
"taaable:Blended_whiskey","category:Blended_tea","","-",-6.0,-6.0,16.0,-6.0,25.0,0.4,0.2727272727272727,0.19393939393939397,0.11636363636363634,0.3814148548725306,1.0,0.42441860465116277,0.6
"taaable:White_basmati_rice","dbpedia:White_on_Rice","","-",-7.0,-7.0,15.0,-7.0,32.0,0.38888888888888884,0.32307692307692304,0.21121471121471114,0.12672882672882668,0.43018433179723503,1.0,0.2974930362116992,0.625
"taaable:White_basmati_rice","dbpedia:White_America","","-",-7.0,-7.0,16.0,-7.0,30.0,0.38888888888888884,0.32307692307692304,0.1645299145299145,0.0987179487179487,0.43018433179723503,1.0,0.4494505494505494,0.6799999999999999
"taaable:White_basmati_rice","category:White_Star_Line","","-",-7.0,-7.0,15.0,-7.0,33.0,0.38888888888888884,0.4933333333333333,0.18831908831908828,0.11299145299145297,0.8043533930857873,1.0,0.8375478927203066,0.75
"taaable:White_basmati_rice","dbpedia:White_maire","","-",-7.0,-7.0,15.0,-7.0,33.0,0.38888888888888884,0.34545454545454546,0.21178451178451185,0.1270707070707071,0.6785215235519495,1.0,0.7358974358974358,0.6521739130434783
"taaable:White_basmati_rice","dbpedia:White_Strike","","-",-7.0,-7.0,15.0,-7.0,30.0,0.38888888888888884,0.43333333333333335,0.18771043771043772,0.11262626262626263,0.7171428571428571,1.0,0.775368139223561,0.6666666666666667
"taaable:Brown_mustard","dbpedia:Brown_bread","","-",-5.0,-5.0,12.0,-5.0,27.0,0.3846153846153846,0.4545454545454546,0.2002072002072003,0.12012432012432017,0.5721617418351477,1.0,0.6454545454545455,0.631578947368421
"taaable:Orange","category:Forages","","-",-3.0,-3.0,9.0,-3.0,14.0,0.4285714285714286,0.33333333333333337,0.1507936507936508,0.1507936507936508,2.0,1.0,0.8509615384615384,0.8461538461538461
"taaable:Orange","category:Grunge","","-",-2.0,-2.0,7.0,-2.0,11.0,0.33333333333333326,0.23333333333333328,0.22222222222222232,0.22222222222222232,0.7777777777777778,1.0,0.7777777777777778,0.7272727272727273
"taaable:Orange","category:Vranje","","-",-2.0,-2.0,7.0,-2.0,11.0,0.33333333333333326,0.23333333333333328,0.22222222222222232,0.22222222222222232,0.7777777777777778,1.0,0.7777777777777778,0.7272727272727273
"taaable:Brown_mustard","dbpedia:Brown_Submarine","","-",-6.0,-6.0,15.0,-6.0,28.0,0.4,0.4461538461538461,0.1704739704739705,0.1022843822843823,0.6916943521594684,1.0,0.7679649464459591,0.6956521739130435
"taaable:White_basmati_rice","dbpedia:White_rice","","-",-8.0,-8.0,12.0,-8.0,29.0,0.4444444444444444,0.24,0.3037037037037038,0.18222222222222229,0.17142857142857137,1.0,0.16800000000000004,0.42105263157894735
