1,4
10,1159623
11,1781840
12,3203739
13,4427769
14,6585839
15,8131917
16,10480664
17,11908720
18,13972559
19,14759095
2,26
20,15673830
21,15789073
22,15644613
23,14490450
24,13128419
25,11569431
26,10533338
27,9603625
28,8861184
29,7622950
3,269
30,7093771
31,6291063
32,5674804
33,5026246
34,4603125
35,4056411
36,3940603
37,3612960
38,3548781
39,3301953
4,9810
40,3033055
41,2823228
42,2698051
43,2526458
44,2408539
45,2287854
46,2320563
47,2318032
48,2088873
49,2031781
5,27203
50,1764342
51,1502449
52,1356413
53,1258114
54,1063296
55,938233
56,840759
57,692009
58,597290
59,453665
6,70596
60,336905
61,264948
62,216593
63,159964
64,140052
65,92751
66,63692
67,43612
68,37918
69,27975
7,124354
70,27937
71,9028
72,6028
73,983
74,553
75,551
76,17
77,1
8,302680
9,533743
